indice,latencia_ms
0,2.248
1,2.250
2,2.257
3,2.258
4,2.264
5,2.265
6,2.276
7,2.277
8,2.278
9,2.279
10,2.279
11,2.282
12,2.282
13,2.282
14,2.282
15,2.282
16,2.283
17,2.284
18,2.286
19,2.288
20,2.288
21,2.288
22,2.288
23,2.289
24,2.289
25,2.290
26,2.292
27,2.293
28,2.295
29,2.295
30,2.296
31,2.296
32,2.297
33,2.297
34,2.297
35,2.297
36,2.298
37,2.298
38,2.299
39,2.301
40,2.301
41,2.301
42,2.303
43,2.304
44,2.304
45,2.305
46,2.305
47,2.306
48,2.306
49,2.307
50,2.307
51,2.307
52,2.307
53,2.307
54,2.308
55,2.309
56,2.309
57,2.309
58,2.309
59,2.310
60,2.311
61,2.311
62,2.311
63,2.311
64,2.311
65,2.311
66,2.312
67,2.312
68,2.312
69,2.312
70,2.313
71,2.313
72,2.313
73,2.314
74,2.314
75,2.314
76,2.314
77,2.314
78,2.314
79,2.315
80,2.316
81,2.316
82,2.316
83,2.316
84,2.316
85,2.317
86,2.317
87,2.317
88,2.317
89,2.317
90,2.317
91,2.317
92,2.318
93,2.318
94,2.318
95,2.318
96,2.318
97,2.319
98,2.319
99,2.319
100,2.319
101,2.320
102,2.320
103,2.320
104,2.320
105,2.320
106,2.321
107,2.321
108,2.321
109,2.322
110,2.322
111,2.322
112,2.322
113,2.322
114,2.322
115,2.323
116,2.323
117,2.324
118,2.324
119,2.325
120,2.325
121,2.325
122,2.325
123,2.325
124,2.326
125,2.326
126,2.326
127,2.326
128,2.327
129,2.327
130,2.327
131,2.327
132,2.328
133,2.328
134,2.328
135,2.328
136,2.328
137,2.329
138,2.329
139,2.329
140,2.329
141,2.329
142,2.329
143,2.330
144,2.330
145,2.330
146,2.330
147,2.331
148,2.331
149,2.331
150,2.331
151,2.331
152,2.331
153,2.331
154,2.332
155,2.332
156,2.332
157,2.332
158,2.332
159,2.332
160,2.333
161,2.333
162,2.333
163,2.334
164,2.334
165,2.334
166,2.334
167,2.334
168,2.334
169,2.335
170,2.335
171,2.335
172,2.335
173,2.335
174,2.335
175,2.336
176,2.336
177,2.336
178,2.337
179,2.337
180,2.337
181,2.337
182,2.337
183,2.337
184,2.338
185,2.338
186,2.338
187,2.338
188,2.339
189,2.339
190,2.339
191,2.339
192,2.339
193,2.339
194,2.340
195,2.340
196,2.340
197,2.341
198,2.341
199,2.341
200,2.342
201,2.342
202,2.342
203,2.342
204,2.343
205,2.343
206,2.343
207,2.343
208,2.343
209,2.343
210,2.343
211,2.343
212,2.344
213,2.344
214,2.344
215,2.344
216,2.344
217,2.344
218,2.345
219,2.345
220,2.345
221,2.345
222,2.345
223,2.346
224,2.346
225,2.346
226,2.346
227,2.346
228,2.346
229,2.346
230,2.346
231,2.347
232,2.347
233,2.347
234,2.347
235,2.347
236,2.347
237,2.347
238,2.348
239,2.348
240,2.348
241,2.348
242,2.348
243,2.348
244,2.348
245,2.349
246,2.349
247,2.349
248,2.349
249,2.349
250,2.349
251,2.350
252,2.350
253,2.350
254,2.351
255,2.351
256,2.351
257,2.351
258,2.351
259,2.351
260,2.351
261,2.351
262,2.351
263,2.351
264,2.351
265,2.351
266,2.352
267,2.352
268,2.352
269,2.353
270,2.353
271,2.353
272,2.354
273,2.354
274,2.354
275,2.354
276,2.354
277,2.355
278,2.355
279,2.355
280,2.355
281,2.355
282,2.356
283,2.356
284,2.356
285,2.356
286,2.356
287,2.356
288,2.356
289,2.356
290,2.356
291,2.357
292,2.357
293,2.357
294,2.357
295,2.357
296,2.357
297,2.357
298,2.357
299,2.358
300,2.358
301,2.358
302,2.358
303,2.359
304,2.359
305,2.359
306,2.359
307,2.359
308,2.359
309,2.359
310,2.359
311,2.359
312,2.359
313,2.359
314,2.360
315,2.360
316,2.360
317,2.360
318,2.360
319,2.360
320,2.360
321,2.360
322,2.361
323,2.361
324,2.361
325,2.361
326,2.361
327,2.361
328,2.361
329,2.362
330,2.362
331,2.362
332,2.362
333,2.362
334,2.362
335,2.363
336,2.363
337,2.363
338,2.363
339,2.363
340,2.363
341,2.363
342,2.363
343,2.364
344,2.364
345,2.364
346,2.364
347,2.364
348,2.364
349,2.364
350,2.364
351,2.365
352,2.365
353,2.365
354,2.365
355,2.366
356,2.366
357,2.366
358,2.367
359,2.367
360,2.367
361,2.367
362,2.368
363,2.368
364,2.368
365,2.368
366,2.368
367,2.368
368,2.368
369,2.368
370,2.368
371,2.368
372,2.369
373,2.369
374,2.369
375,2.369
376,2.369
377,2.369
378,2.369
379,2.370
380,2.370
381,2.370
382,2.370
383,2.370
384,2.370
385,2.370
386,2.370
387,2.371
388,2.371
389,2.371
390,2.371
391,2.371
392,2.371
393,2.371
394,2.372
395,2.372
396,2.372
397,2.372
398,2.372
399,2.372
400,2.372
401,2.372
402,2.372
403,2.373
404,2.373
405,2.373
406,2.373
407,2.373
408,2.373
409,2.373
410,2.373
411,2.373
412,2.373
413,2.373
414,2.373
415,2.374
416,2.374
417,2.374
418,2.375
419,2.375
420,2.375
421,2.376
422,2.376
423,2.376
424,2.376
425,2.376
426,2.376
427,2.377
428,2.377
429,2.377
430,2.377
431,2.377
432,2.378
433,2.378
434,2.378
435,2.378
436,2.378
437,2.378
438,2.378
439,2.378
440,2.379
441,2.379
442,2.379
443,2.379
444,2.379
445,2.379
446,2.379
447,2.379
448,2.379
449,2.380
450,2.380
451,2.380
452,2.380
453,2.380
454,2.380
455,2.381
456,2.381
457,2.381
458,2.382
459,2.382
460,2.382
461,2.382
462,2.382
463,2.382
464,2.382
465,2.383
466,2.383
467,2.383
468,2.383
469,2.384
470,2.384
471,2.384
472,2.384
473,2.384
474,2.384
475,2.384
476,2.384
477,2.385
478,2.385
479,2.385
480,2.385
481,2.385
482,2.386
483,2.386
484,2.387
485,2.387
486,2.387
487,2.387
488,2.387
489,2.387
490,2.387
491,2.388
492,2.388
493,2.388
494,2.388
495,2.388
496,2.388
497,2.388
498,2.389
499,2.389
500,2.389
501,2.389
502,2.389
503,2.389
504,2.389
505,2.389
506,2.389
507,2.389
508,2.390
509,2.390
510,2.390
511,2.390
512,2.390
513,2.391
514,2.391
515,2.392
516,2.392
517,2.392
518,2.392
519,2.393
520,2.393
521,2.393
522,2.393
523,2.393
524,2.393
525,2.394
526,2.394
527,2.394
528,2.394
529,2.394
530,2.394
531,2.394
532,2.394
533,2.395
534,2.395
535,2.395
536,2.395
537,2.395
538,2.396
539,2.396
540,2.396
541,2.397
542,2.397
543,2.397
544,2.397
545,2.397
546,2.398
547,2.398
548,2.399
549,2.399
550,2.399
551,2.399
552,2.399
553,2.399
554,2.399
555,2.400
556,2.400
557,2.400
558,2.400
559,2.400
560,2.400
561,2.400
562,2.400
563,2.400
564,2.401
565,2.401
566,2.401
567,2.402
568,2.402
569,2.402
570,2.402
571,2.402
572,2.402
573,2.402
574,2.402
575,2.403
576,2.404
577,2.404
578,2.404
579,2.404
580,2.404
581,2.405
582,2.405
583,2.405
584,2.405
585,2.406
586,2.406
587,2.406
588,2.406
589,2.406
590,2.406
591,2.407
592,2.407
593,2.407
594,2.407
595,2.407
596,2.408
597,2.408
598,2.408
599,2.408
600,2.408
601,2.408
602,2.408
603,2.409
604,2.409
605,2.409
606,2.409
607,2.409
608,2.410
609,2.410
610,2.411
611,2.411
612,2.411
613,2.411
614,2.411
615,2.412
616,2.412
617,2.412
618,2.412
619,2.412
620,2.413
621,2.413
622,2.413
623,2.414
624,2.414
625,2.414
626,2.415
627,2.415
628,2.415
629,2.415
630,2.415
631,2.416
632,2.416
633,2.416
634,2.416
635,2.417
636,2.417
637,2.417
638,2.418
639,2.418
640,2.418
641,2.418
642,2.418
643,2.419
644,2.419
645,2.419
646,2.419
647,2.419
648,2.419
649,2.419
650,2.420
651,2.420
652,2.420
653,2.420
654,2.421
655,2.422
656,2.422
657,2.422
658,2.422
659,2.423
660,2.423
661,2.423
662,2.423
663,2.423
664,2.424
665,2.424
666,2.424
667,2.424
668,2.424
669,2.425
670,2.425
671,2.425
672,2.425
673,2.426
674,2.427
675,2.427
676,2.427
677,2.428
678,2.428
679,2.428
680,2.428
681,2.428
682,2.429
683,2.429
684,2.430
685,2.430
686,2.431
687,2.431
688,2.431
689,2.432
690,2.432
691,2.432
692,2.432
693,2.432
694,2.433
695,2.433
696,2.433
697,2.434
698,2.435
699,2.435
700,2.435
701,2.435
702,2.435
703,2.436
704,2.436
705,2.436
706,2.436
707,2.437
708,2.437
709,2.438
710,2.438
711,2.438
712,2.438
713,2.439
714,2.440
715,2.441
716,2.442
717,2.442
718,2.443
719,2.443
720,2.443
721,2.444
722,2.444
723,2.446
724,2.446
725,2.446
726,2.446
727,2.446
728,2.447
729,2.447
730,2.448
731,2.448
732,2.448
733,2.448
734,2.449
735,2.449
736,2.449
737,2.450
738,2.451
739,2.451
740,2.451
741,2.452
742,2.453
743,2.454
744,2.454
745,2.454
746,2.454
747,2.456
748,2.456
749,2.457
750,2.457
751,2.457
752,2.457
753,2.458
754,2.458
755,2.458
756,2.459
757,2.459
758,2.459
759,2.459
760,2.461
761,2.461
762,2.461
763,2.462
764,2.462
765,2.463
766,2.463
767,2.464
768,2.464
769,2.464
770,2.464
771,2.466
772,2.466
773,2.466
774,2.467
775,2.468
776,2.468
777,2.469
778,2.469
779,2.470
780,2.471
781,2.471
782,2.472
783,2.473
784,2.473
785,2.475
786,2.476
787,2.476
788,2.477
789,2.478
790,2.478
791,2.480
792,2.481
793,2.481
794,2.482
795,2.482
796,2.482
797,2.484
798,2.486
799,2.488
800,2.489
801,2.489
802,2.490
803,2.490
804,2.491
805,2.492
806,2.494
807,2.495
808,2.498
809,2.498
810,2.500
811,2.502
812,2.502
813,2.502
814,2.505
815,2.506
816,2.507
817,2.507
818,2.507
819,2.508
820,2.508
821,2.510
822,2.510
823,2.514
824,2.519
825,2.521
826,2.522
827,2.524
828,2.525
829,2.527
830,2.529
831,2.529
832,2.529
833,2.530
834,2.531
835,2.532
836,2.532
837,2.532
838,2.533
839,2.534
840,2.537
841,2.539
842,2.544
843,2.544
844,2.544
845,2.549
846,2.551
847,2.552
848,2.569
849,2.573
850,2.575
851,2.575
852,2.575
853,2.577
854,2.580
855,2.582
856,2.583
857,2.584
858,2.594
859,2.603
860,2.609
861,2.618
862,2.626
863,2.626
864,2.628
865,2.634
866,2.636
867,2.650
868,2.660
869,2.664
870,2.687
871,2.696
872,2.720
873,2.726
874,2.731
875,2.733
876,2.745
877,2.750
878,2.766
879,2.775
880,2.779
881,2.795
882,2.804
883,2.829
884,2.831
885,2.835
886,2.850
887,2.852
888,2.913
889,2.913
890,2.932
891,2.939
892,2.962
893,3.000
894,3.073
895,3.207
896,3.268
897,3.269
898,3.682
899,4.075
