indice,tempo_s,resultado,latencia_ms
0,0.004,rejeitado_conexao_fechada,4.364
1,0.035,rejeitado_conexao_fechada,25.050
2,0.036,rejeitado_conexao_fechada,0.677
3,0.069,rejeitado_conexao_fechada,23.248
4,0.085,rejeitado_conexao_fechada,16.524
5,0.106,rejeitado_conexao_fechada,20.559
6,0.119,rejeitado_conexao_fechada,13.253
7,0.140,rejeitado_conexao_fechada,20.898
8,0.154,rejeitado_conexao_fechada,14.118
9,0.170,rejeitado_conexao_fechada,15.277
10,0.187,rejeitado_conexao_fechada,16.997
11,0.203,rejeitado_conexao_fechada,16.463
12,0.220,rejeitado_conexao_fechada,16.699
13,0.221,rejeitado_conexao_fechada,0.860
14,0.254,rejeitado_conexao_fechada,23.861
15,0.255,rejeitado_conexao_fechada,0.888
16,0.265,rejeitado_conexao_fechada,0.765
17,0.287,rejeitado_conexao_fechada,12.558
18,0.303,rejeitado_conexao_fechada,16.386
19,0.320,rejeitado_conexao_fechada,16.987
20,0.335,rejeitado_conexao_fechada,14.583
21,0.352,rejeitado_conexao_fechada,17.306
22,0.353,rejeitado_conexao_fechada,0.779
23,0.375,rejeitado_conexao_fechada,12.248
24,0.390,rejeitado_conexao_fechada,15.735
25,0.403,rejeitado_conexao_fechada,12.811
26,0.404,rejeitado_conexao_fechada,0.647
27,0.414,rejeitado_conexao_fechada,0.693
28,0.424,rejeitado_conexao_fechada,0.784
29,0.454,rejeitado_conexao_fechada,19.673
30,0.469,rejeitado_conexao_fechada,14.769
31,0.490,rejeitado_conexao_fechada,21.534
32,0.491,rejeitado_conexao_fechada,0.650
33,0.501,rejeitado_conexao_fechada,0.763
34,0.536,rejeitado_conexao_fechada,24.824
35,0.551,rejeitado_conexao_fechada,15.519
36,0.552,rejeitado_conexao_fechada,0.660
37,0.584,rejeitado_conexao_fechada,21.932
38,0.600,rejeitado_conexao_fechada,16.134
39,0.615,rejeitado_conexao_fechada,15.360
40,0.636,rejeitado_conexao_fechada,20.676
41,0.652,rejeitado_conexao_fechada,15.923
42,0.667,rejeitado_conexao_fechada,15.564
43,0.687,rejeitado_conexao_fechada,19.420
44,0.702,rejeitado_conexao_fechada,15.099
45,0.714,rejeitado_conexao_fechada,12.616
46,0.715,rejeitado_conexao_fechada,0.760
47,0.725,rejeitado_conexao_fechada,0.870
48,0.759,rejeitado_conexao_fechada,24.322
49,0.774,rejeitado_conexao_fechada,14.847
50,0.790,rejeitado_conexao_fechada,16.147
51,0.803,rejeitado_conexao_fechada,12.732
52,0.819,rejeitado_conexao_fechada,15.824
53,0.835,rejeitado_conexao_fechada,15.923
54,0.835,rejeitado_conexao_fechada,0.674
55,0.870,rejeitado_conexao_fechada,24.975
56,0.885,rejeitado_conexao_fechada,15.061
57,0.886,rejeitado_conexao_fechada,0.754
58,0.920,rejeitado_conexao_fechada,24.843
59,0.936,rejeitado_conexao_fechada,15.376
60,0.937,rejeitado_conexao_fechada,0.869
61,0.967,rejeitado_conexao_fechada,20.601
62,0.967,rejeitado_conexao_fechada,0.644
63,0.988,rejeitado_conexao_fechada,10.631
64,0.989,rejeitado_conexao_fechada,0.837
65,0.999,rejeitado_conexao_fechada,0.655
66,1.034,rejeitado_conexao_fechada,25.532
67,1.035,rejeitado_conexao_fechada,0.816
68,1.069,rejeitado_conexao_fechada,23.975
69,1.070,rejeitado_conexao_fechada,0.876
70,1.100,rejeitado_conexao_fechada,21.133
71,1.126,rejeitado_conexao_fechada,25.970
72,1.127,rejeitado_conexao_fechada,0.868
73,1.163,rejeitado_conexao_fechada,26.702
74,1.164,rejeitado_conexao_fechada,0.687
75,1.186,rejeitado_conexao_fechada,12.010
76,1.202,rejeitado_conexao_fechada,16.153
77,1.218,rejeitado_conexao_fechada,16.114
78,1.233,rejeitado_conexao_fechada,15.088
79,1.253,rejeitado_conexao_fechada,19.740
80,1.268,rejeitado_conexao_fechada,15.374
81,1.286,rejeitado_conexao_fechada,17.657
82,1.303,rejeitado_conexao_fechada,17.094
83,1.319,rejeitado_conexao_fechada,15.820
84,1.335,rejeitado_conexao_fechada,16.031
85,1.352,rejeitado_conexao_fechada,16.479
86,1.371,rejeitado_conexao_fechada,19.162
87,1.386,rejeitado_conexao_fechada,15.691
88,1.402,rejeitado_conexao_fechada,15.148
89,1.420,rejeitado_conexao_fechada,18.623
90,1.436,rejeitado_conexao_fechada,16.120
91,1.453,rejeitado_conexao_fechada,16.596
92,1.454,rejeitado_conexao_fechada,0.717
93,1.479,rejeitado_conexao_fechada,15.734
94,1.495,rejeitado_conexao_fechada,15.648
95,1.508,rejeitado_conexao_fechada,13.278
96,1.523,rejeitado_conexao_fechada,15.168
97,1.524,rejeitado_conexao_fechada,0.659
98,1.554,rejeitado_conexao_fechada,21.083
99,1.570,rejeitado_conexao_fechada,15.141
100,1.570,rejeitado_conexao_fechada,0.675
101,1.592,rejeitado_conexao_fechada,11.806
102,1.608,rejeitado_conexao_fechada,16.331
103,1.623,rejeitado_conexao_fechada,15.150
104,1.639,rejeitado_conexao_fechada,15.941
105,1.654,rejeitado_conexao_fechada,14.266
106,1.655,rejeitado_conexao_fechada,0.989
107,1.675,rejeitado_conexao_fechada,10.587
108,1.691,rejeitado_conexao_fechada,16.009
109,1.704,rejeitado_conexao_fechada,13.597
110,1.724,rejeitado_conexao_fechada,19.468
111,1.739,rejeitado_conexao_fechada,15.110
112,1.755,rejeitado_conexao_fechada,15.988
113,1.779,rejeitado_conexao_fechada,24.370
114,1.795,rejeitado_conexao_fechada,15.526
115,1.795,rejeitado_conexao_fechada,0.663
116,1.816,rejeitado_conexao_fechada,11.004
117,1.837,rejeitado_conexao_fechada,20.538
118,1.852,rejeitado_conexao_fechada,15.852
119,1.875,rejeitado_conexao_fechada,22.744
120,1.890,rejeitado_conexao_fechada,15.192
121,1.891,rejeitado_conexao_fechada,0.661
122,1.925,rejeitado_conexao_fechada,24.613
123,1.926,rejeitado_conexao_fechada,0.673
124,1.937,rejeitado_conexao_fechada,1.001
125,1.957,rejeitado_conexao_fechada,11.475
126,1.977,rejeitado_conexao_fechada,19.364
127,1.991,rejeitado_conexao_fechada,14.608
128,1.992,rejeitado_conexao_fechada,0.771
129,2.012,rejeitado_conexao_fechada,10.656
130,2.029,rejeitado_conexao_fechada,16.622
131,2.044,rejeitado_conexao_fechada,15.380
132,2.057,rejeitado_conexao_fechada,12.561
133,2.072,rejeitado_conexao_fechada,15.329
134,2.088,rejeitado_conexao_fechada,16.353
135,2.090,rejeitado_conexao_fechada,1.406
136,2.100,rejeitado_conexao_fechada,1.068
137,2.110,rejeitado_conexao_fechada,0.968
138,2.120,rejeitado_conexao_fechada,0.843
139,2.141,rejeitado_conexao_fechada,11.949
140,2.153,rejeitado_conexao_fechada,11.665
141,2.172,rejeitado_conexao_fechada,18.430
142,2.172,rejeitado_conexao_fechada,0.737
143,2.202,rejeitado_conexao_fechada,20.254
144,2.223,rejeitado_conexao_fechada,20.250
145,2.237,rejeitado_conexao_fechada,14.857
146,2.238,rejeitado_conexao_fechada,0.672
147,2.258,rejeitado_conexao_fechada,10.404
148,2.259,rejeitado_conexao_fechada,0.748
149,2.289,rejeitado_conexao_fechada,20.783
150,2.290,rejeitado_conexao_fechada,0.779
151,2.311,rejeitado_conexao_fechada,11.183
152,2.328,rejeitado_conexao_fechada,16.847
153,2.328,rejeitado_conexao_fechada,0.753
154,2.359,rejeitado_conexao_fechada,21.225
155,2.370,rejeitado_conexao_fechada,10.901
156,2.371,rejeitado_conexao_fechada,0.747
157,2.401,rejeitado_conexao_fechada,21.102
158,2.402,rejeitado_conexao_fechada,0.714
159,2.423,rejeitado_conexao_fechada,11.333
160,2.424,rejeitado_conexao_fechada,0.813
161,2.455,rejeitado_conexao_fechada,21.532
162,2.471,rejeitado_conexao_fechada,15.821
163,2.486,rejeitado_conexao_fechada,15.595
164,2.503,rejeitado_conexao_fechada,16.339
165,2.519,rejeitado_conexao_fechada,16.314
166,2.520,rejeitado_conexao_fechada,0.948
167,2.541,rejeitado_conexao_fechada,11.651
168,2.556,rejeitado_conexao_fechada,15.644
169,2.557,rejeitado_conexao_fechada,0.725
170,2.588,rejeitado_conexao_fechada,21.315
171,2.603,rejeitado_conexao_fechada,15.452
172,2.619,rejeitado_conexao_fechada,15.974
173,2.634,rejeitado_conexao_fechada,14.620
174,2.635,rejeitado_conexao_fechada,0.744
175,2.656,rejeitado_conexao_fechada,11.947
176,2.670,rejeitado_conexao_fechada,13.861
177,2.671,rejeitado_conexao_fechada,0.711
178,2.702,rejeitado_conexao_fechada,21.020
179,2.720,rejeitado_conexao_fechada,18.117
180,2.736,rejeitado_conexao_fechada,16.387
181,2.737,rejeitado_conexao_fechada,0.925
182,2.768,rejeitado_conexao_fechada,20.573
183,2.784,rejeitado_conexao_fechada,16.032
184,2.785,rejeitado_conexao_fechada,0.907
185,2.806,rejeitado_conexao_fechada,12.368
186,2.823,rejeitado_conexao_fechada,16.295
187,2.824,rejeitado_conexao_fechada,0.763
188,2.854,rejeitado_conexao_fechada,21.051
189,2.870,rejeitado_conexao_fechada,15.713
190,2.870,rejeitado_conexao_fechada,0.661
191,2.902,rejeitado_conexao_fechada,21.955
192,2.918,rejeitado_conexao_fechada,16.208
193,2.934,rejeitado_conexao_fechada,16.035
194,2.951,rejeitado_conexao_fechada,16.093
195,2.951,rejeitado_conexao_fechada,0.834
196,2.982,rejeitado_conexao_fechada,21.011
197,2.998,rejeitado_conexao_fechada,15.342
198,3.014,rejeitado_conexao_fechada,16.053
199,3.015,rejeitado_conexao_fechada,0.822
200,3.025,rejeitado_conexao_fechada,0.714
201,3.051,rejeitado_conexao_fechada,17.052
202,3.069,rejeitado_conexao_fechada,17.601
203,3.070,rejeitado_conexao_fechada,0.940
204,3.102,rejeitado_conexao_fechada,22.617
205,3.103,rejeitado_conexao_fechada,1.000
206,3.134,rejeitado_conexao_fechada,21.083
207,3.153,rejeitado_conexao_fechada,19.617
208,3.169,rejeitado_conexao_fechada,15.149
209,3.169,rejeitado_conexao_fechada,0.623
210,3.203,rejeitado_conexao_fechada,24.295
211,3.204,rejeitado_conexao_fechada,0.688
212,3.235,rejeitado_conexao_fechada,21.654
213,3.250,rejeitado_conexao_fechada,15.714
214,3.251,rejeitado_conexao_fechada,0.704
215,3.262,rejeitado_conexao_fechada,1.135
216,3.272,rejeitado_conexao_fechada,0.696
217,3.301,rejeitado_conexao_fechada,20.281
218,3.320,rejeitado_conexao_fechada,18.406
219,3.320,rejeitado_conexao_fechada,0.653
220,3.332,rejeitado_conexao_fechada,1.497
221,3.342,rejeitado_conexao_fechada,1.257
222,3.368,rejeitado_conexao_fechada,17.523
223,3.370,rejeitado_conexao_fechada,1.201
224,3.379,rejeitado_conexao_fechada,0.842
225,3.390,rejeitado_conexao_fechada,1.014
226,3.400,rejeitado_conexao_fechada,0.881
227,3.410,rejeitado_conexao_fechada,0.755
228,3.420,rejeitado_conexao_fechada,0.825
229,3.430,rejeitado_conexao_fechada,0.547
230,3.453,rejeitado_conexao_fechada,13.631
231,3.467,rejeitado_conexao_fechada,14.280
232,3.468,rejeitado_conexao_fechada,0.584
233,3.502,rejeitado_conexao_fechada,24.486
234,3.503,rejeitado_conexao_fechada,0.727
235,3.513,rejeitado_conexao_fechada,0.927
236,3.536,rejeitado_conexao_fechada,14.056
237,3.537,rejeitado_conexao_fechada,0.616
238,3.570,rejeitado_conexao_fechada,22.874
239,3.571,rejeitado_conexao_fechada,0.928
240,3.602,rejeitado_conexao_fechada,21.345
241,3.603,rejeitado_conexao_fechada,0.710
242,3.634,rejeitado_conexao_fechada,21.862
243,3.650,rejeitado_conexao_fechada,15.518
244,3.665,rejeitado_conexao_fechada,15.499
245,3.681,rejeitado_conexao_fechada,15.586
246,3.682,rejeitado_conexao_fechada,0.666
247,3.712,rejeitado_conexao_fechada,20.560
248,3.713,rejeitado_conexao_fechada,0.713
249,3.724,rejeitado_conexao_fechada,0.929
250,3.734,rejeitado_conexao_fechada,0.882
251,3.744,rejeitado_conexao_fechada,0.909
252,3.767,rejeitado_conexao_fechada,12.923
253,3.768,rejeitado_conexao_fechada,0.952
254,3.801,rejeitado_conexao_fechada,23.901
255,3.819,rejeitado_conexao_fechada,17.334
256,3.820,rejeitado_conexao_fechada,0.693
257,3.852,rejeitado_conexao_fechada,23.334
258,3.872,rejeitado_conexao_fechada,19.486
259,3.887,rejeitado_conexao_fechada,15.157
260,3.888,rejeitado_conexao_fechada,0.919
261,3.922,rejeitado_conexao_fechada,25.100
262,3.940,rejeitado_conexao_fechada,17.684
263,3.941,rejeitado_conexao_fechada,0.763
264,3.968,rejeitado_conexao_fechada,17.988
265,3.984,rejeitado_conexao_fechada,15.351
266,3.985,rejeitado_conexao_fechada,1.021
267,4.007,rejeitado_conexao_fechada,13.020
268,4.008,rejeitado_conexao_fechada,0.708
269,4.040,rejeitado_conexao_fechada,22.924
270,4.053,rejeitado_conexao_fechada,12.829
271,4.053,rejeitado_conexao_fechada,0.544
272,4.064,rejeitado_conexao_fechada,0.991
273,4.074,rejeitado_conexao_fechada,0.618
274,4.084,rejeitado_conexao_fechada,0.714
275,4.095,rejeitado_conexao_fechada,1.120
276,4.105,rejeitado_conexao_fechada,0.860
277,4.115,rejeitado_conexao_fechada,0.756
278,4.136,rejeitado_conexao_fechada,11.950
279,4.137,rejeitado_conexao_fechada,0.601
280,4.147,rejeitado_conexao_fechada,0.587
281,4.157,rejeitado_conexao_fechada,0.559
282,4.168,rejeitado_conexao_fechada,0.597
283,4.200,rejeitado_conexao_fechada,22.632
284,4.219,rejeitado_conexao_fechada,18.722
285,4.241,rejeitado_conexao_fechada,22.090
286,4.242,rejeitado_conexao_fechada,0.712
287,4.270,rejeitado_conexao_fechada,18.285
288,4.287,rejeitado_conexao_fechada,17.199
289,4.303,rejeitado_conexao_fechada,16.027
290,4.303,rejeitado_conexao_fechada,0.669
291,4.335,rejeitado_conexao_fechada,21.614
292,4.350,rejeitado_conexao_fechada,15.550
293,4.367,rejeitado_conexao_fechada,16.453
294,4.368,rejeitado_conexao_fechada,0.856
295,4.378,rejeitado_conexao_fechada,0.957
296,4.403,rejeitado_conexao_fechada,15.577
297,4.419,rejeitado_conexao_fechada,16.022
298,4.420,rejeitado_conexao_fechada,0.623
299,4.451,rejeitado_conexao_fechada,21.067
300,4.477,rejeitado_conexao_fechada,26.120
301,4.492,rejeitado_conexao_fechada,14.796
302,4.514,rejeitado_conexao_fechada,21.992
303,4.536,rejeitado_conexao_fechada,22.397
304,4.552,rejeitado_conexao_fechada,16.356
305,4.568,rejeitado_conexao_fechada,15.966
306,4.569,rejeitado_conexao_fechada,0.850
307,4.590,rejeitado_conexao_fechada,11.897
308,4.607,rejeitado_conexao_fechada,16.562
309,4.620,rejeitado_conexao_fechada,13.152
310,4.636,rejeitado_conexao_fechada,16.136
311,4.654,rejeitado_conexao_fechada,17.682
312,4.655,rejeitado_conexao_fechada,0.879
313,4.686,rejeitado_conexao_fechada,21.771
314,4.687,rejeitado_conexao_fechada,0.727
315,4.718,rejeitado_conexao_fechada,20.880
316,4.737,rejeitado_conexao_fechada,18.957
317,4.752,rejeitado_conexao_fechada,15.637
318,4.768,rejeitado_conexao_fechada,15.948
319,4.786,rejeitado_conexao_fechada,17.987
320,4.802,rejeitado_conexao_fechada,16.030
321,4.818,rejeitado_conexao_fechada,15.724
322,4.833,rejeitado_conexao_fechada,14.722
323,4.853,rejeitado_conexao_fechada,20.484
324,4.869,rejeitado_conexao_fechada,15.648
325,4.884,rejeitado_conexao_fechada,15.038
326,4.903,rejeitado_conexao_fechada,18.750
327,4.920,rejeitado_conexao_fechada,16.940
328,4.935,rejeitado_conexao_fechada,15.634
329,4.936,rejeitado_conexao_fechada,0.906
330,4.968,rejeitado_conexao_fechada,22.603
331,4.986,rejeitado_conexao_fechada,17.630
